YEAR,DATE,VENUE,CITY/STATE,IMAGE URL,NET LINK
1985,October 17, 1985,Finbars Burlington,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-october-17-1985-finbars-burlington-vt-usa.html
1985,October 20, 1985,Slade Hall University Of Vermont,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-october-20-1985-slade-hall-university-of-vermont-burlington-vt-usa.html
1985,October 26, 1985,Goddard College,"Plainfield, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-october-26-1985-goddard-college-plainfield-vt-usa.html
1985,October 30, 1985,Hunts,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-october-30-1985-hunts-burlington-vt-usa.html
1985,November 2, 1985,Slade Hall University Of Vermont,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-november-02-1985-slade-hall-university-of-vermont-burlington-vt-usa.html
1985,November 14, 1985,Memorial Auditorium Basement Burlington,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-november-14-1985-memorial-auditorium-basement-burlington-vt-usa.html
1985,November 23, 1985,Goddard College,"Plainfield, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-november-23-1985-goddard-college-plainfield-vt-usa.html
1985,December 13, 1985,Private Party Burlington,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-december-13-1985-private-party-burlington-vt-usa.html
1986,February 3, 1986,Hunts,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-february-03-1986-hunts-burlington-vt-usa.html
1986,February 21, 1986,Memorial Auditorium,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-february-21-1986-memorial-auditorium-burlington-vt-usa.html
1986,February 28, 1986,Slade Hall University Of Vermont,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-february-28-1986-slade-hall-university-of-vermont-burlington-vt-usa.html
1986,March 2, 1986,Hunts,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-march-02-1986-hunts-burlington-vt-usa.html
1986,April 1, 1986,Hunts,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-april-01-1986-hunts-burlington-vt-usa.html
1986,April 15, 1986,University Of Vermont,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-april-15-1986-university-of-vermont-burlington-vt-usa.html
1986,April 25, 1986,University Of Vermont,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-april-25-1986-university-of-vermont-burlington-vt-usa.html
1986,April 29, 1986,University Of Vermont,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-april-29-1986-university-of-vermont-burlington-vt-usa.html
1986,May 16, 1986,Memorial Auditorium Basement Burlington,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-may-16-1986-memorial-auditorium-basement-burlington-vt-usa.html
1986,May 17, 1986,Goddard College,"Plainfield, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-may-17-1986-goddard-college-plainfield-vt-usa.html
1986,May 24, 1986,Hunts,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-may-24-1986-hunts-burlington-vt-usa.html
1986,June 1, 1986,Boston Harbor Boston,"Boston, MA",/images/default-ticket.jpg,https://phish.net/setlists/phish-june-01-1986-boston-harbor-boston-ma-usa.html
1986,July 18, 1986,Royall Tyler Theatre Piazza Burlington,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-july-18-1986-royall-tyler-theatre-piazza-burlington-vt-usa.html
1986,July 18, 1986,Royall Tyler Theatre Piazza,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-july-18-1986-royall-tyler-theatre-piazza-burlington-vt-usa.html
1986,September 3, 1986,Hunts,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-september-03-1986-hunts-burlington-vt-usa.html
1986,September 10, 1986,Finbars Burlington,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-september-10-1986-finbars-burlington-vt-usa.html
1986,September 26, 1986,Private Party Johnson,"Johnson, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-september-26-1986-private-party-johnson-vt-usa.html
1986,October 12, 1986,Haybarn Theater Goddard College,"Plainfield, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-october-12-1986-haybarn-theater-goddard-college-plainfield-vt-usa.html
1986,October 15, 1986,Hunts,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-october-15-1986-hunts-burlington-vt-usa.html
1986,October 31, 1986,Sculpture Room Goddard College,"Plainfield, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-october-31-1986-sculpture-room-goddard-college-plainfield-vt-usa.html
1986,November 7, 1986,Marsh Hall Dining Room University Of Vermont,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-november-07-1986-marsh-hall-dining-room-university-of-vermont-burlington-vt-usa.html
1986,November 14, 1986,Slade Hall University Of Vermont,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-november-14-1986-slade-hall-university-of-vermont-burlington-vt-usa.html
1986,November 18, 1986,Nectars,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-november-18-1986-nectars-burlington-vt-usa.html
1986,November 25, 1986,Nectars,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-november-25-1986-nectars-burlington-vt-usa.html
1986,December 6, 1986,The Ranch Shelburne,"Shelburne, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-december-06-1986-the-ranch-shelburne-vt-usa.html
1987,January 19, 1987,Hunts,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-january-19-1987-hunts-burlington-vt-usa.html
1987,January 21, 1987,Hunts,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-january-21-1987-hunts-burlington-vt-usa.html
1987,February 1, 1987,Nectars,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-february-01-1987-nectars-burlington-vt-usa.html
1987,February 2, 1987,Nectars,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-february-02-1987-nectars-burlington-vt-usa.html
1987,February 7, 1987,Mad Maggies Farm Monkton,"Monkton, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-february-07-1987-mad-maggies-farm-monkton-vt-usa.html
1987,February 13, 1987,Johnson State College Johnson,"Johnson, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-february-13-1987-johnson-state-college-johnson-vt-usa.html
1987,February 21, 1987,Slade Hall University Of Vermont,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-february-21-1987-slade-hall-university-of-vermont-burlington-vt-usa.html
1987,February 27, 1987,Slade Hall University Of Vermont,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-february-27-1987-slade-hall-university-of-vermont-burlington-vt-usa.html
1987,March 6, 1987,Goddard College,"Plainfield, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-march-06-1987-goddard-college-plainfield-vt-usa.html
1987,March 22, 1987,Nectars,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-march-22-1987-nectars-burlington-vt-usa.html
1987,March 23, 1987,Nectars,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-march-23-1987-nectars-burlington-vt-usa.html
1987,April 24, 1987,Billings Lounge University Of Vermont,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-april-24-1987-billings-lounge-university-of-vermont-burlington-vt-usa.html
1987,April 28, 1987,Nectars,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-april-28-1987-nectars-burlington-vt-usa.html
1987,April 29, 1987,Nectars,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-april-29-1987-nectars-burlington-vt-usa.html
1987,May 10, 1987,Nectars,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-may-10-1987-nectars-burlington-vt-usa.html
1987,May 11, 1987,Nectars,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-may-11-1987-nectars-burlington-vt-usa.html
1987,May 12, 1987,Nectars,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-may-12-1987-nectars-burlington-vt-usa.html
1987,May 16, 1987,Haybarn Theater Goddard College,"Plainfield, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-may-16-1987-haybarn-theater-goddard-college-plainfield-vt-usa.html
1987,May 20, 1987,The Ranch South Burlington,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-may-20-1987-the-ranch-south-burlington-vt-usa.html
1987,August 9, 1987,Nectars,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-august-09-1987-nectars-burlington-vt-usa.html
1987,August 10, 1987,Nectars,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-august-10-1987-nectars-burlington-vt-usa.html
1987,August 21, 1987,Ian Mcleans Farm Hebron,"Hebron, NY",/images/default-ticket.jpg,https://phish.net/setlists/phish-august-21-1987-ian-mcleans-farm-hebron-ny-usa.html
1987,August 22, 1987,Vergennes Day Vergennes,"Vergennes, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-august-22-1987-vergennes-day-vergennes-vt-usa.html
1987,August 29, 1987,The Ranch South Burlington,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-august-29-1987-the-ranch-south-burlington-vt-usa.html
1987,September 2, 1987,Hunts,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-september-02-1987-hunts-burlington-vt-usa.html
1987,September 3, 1987,Hunts,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-september-03-1987-hunts-burlington-vt-usa.html
1987,September 4, 1987,Goddard College,"Plainfield, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-september-04-1987-goddard-college-plainfield-vt-usa.html
1987,September 19, 1987,Goddard College,"Plainfield, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-september-19-1987-goddard-college-plainfield-vt-usa.html
1987,September 20, 1987,Nectars,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-september-20-1987-nectars-burlington-vt-usa.html
1987,September 21, 1987,Nectars,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-september-21-1987-nectars-burlington-vt-usa.html
1987,September 26, 1987,Odd Fellows Hall Burlington,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-september-26-1987-odd-fellows-hall-burlington-vt-usa.html
1987,September 26, 1987,Odd Fellows Hall,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-september-26-1987-odd-fellows-hall-burlington-vt-usa.html
1987,September 27, 1987,St Lawrence University Canton,"Canton, NY",/images/default-ticket.jpg,https://phish.net/setlists/phish-september-27-1987-st-lawrence-university-canton-ny-usa.html
1987,October 10, 1987,The Ranch Shelburne,"Shelburne, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-october-10-1987-the-ranch-shelburne-vt-usa.html
1987,October 14, 1987,Hunts,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-october-14-1987-hunts-burlington-vt-usa.html
1987,October 18, 1987,Nectars,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-october-18-1987-nectars-burlington-vt-usa.html
1987,October 19, 1987,Nectars,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-october-19-1987-nectars-burlington-vt-usa.html
1987,October 21, 1987,Hunts,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-october-21-1987-hunts-burlington-vt-usa.html
1987,October 23, 1987,Corks Burlington,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-october-23-1987-corks-burlington-vt-usa.html
1987,October 24, 1987,Corks Burlington,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-october-24-1987-corks-burlington-vt-usa.html
1987,October 31, 1987,Sculpture Room Goddard College,"Plainfield, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-october-31-1987-sculpture-room-goddard-college-plainfield-vt-usa.html
1987,November 15, 1987,Nectars,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-november-15-1987-nectars-burlington-vt-usa.html
1987,November 16, 1987,Nectars,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-november-16-1987-nectars-burlington-vt-usa.html
1987,November 17, 1987,Nectars,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-november-17-1987-nectars-burlington-vt-usa.html
1987,November 18, 1987,Hunts,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-november-18-1987-hunts-burlington-vt-usa.html
1987,November 19, 1987,Hunts,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-november-19-1987-hunts-burlington-vt-usa.html
1987,November 21, 1987,Nectars,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-november-21-1987-nectars-burlington-vt-usa.html
1987,November 22, 1987,Nectars,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-november-22-1987-nectars-burlington-vt-usa.html
1987,November 23, 1987,Nectars,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-november-23-1987-nectars-burlington-vt-usa.html
1988,January 27, 1988,Gallaghers Waitsfield,"Waitsfield, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-january-27-1988-gallaghers-waitsfield-vt-usa.html
1988,February 3, 1988,Gallaghers Waitsfield,"Waitsfield, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-february-03-1988-gallaghers-waitsfield-vt-usa.html
1988,February 7, 1988,Nectars,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-february-07-1988-nectars-burlington-vt-usa.html
1988,February 8, 1988,Nectars,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-february-08-1988-nectars-burlington-vt-usa.html
1988,February 10, 1988,Gallaghers Waitsfield,"Waitsfield, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-february-10-1988-gallaghers-waitsfield-vt-usa.html
1988,February 20, 1988,St Lawrence University Canton,"Canton, NY",/images/default-ticket.jpg,https://phish.net/setlists/phish-february-20-1988-st-lawrence-university-canton-ny-usa.html
1988,February 24, 1988,Gallaghers Waitsfield,"Waitsfield, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-february-24-1988-gallaghers-waitsfield-vt-usa.html
1988,February 26, 1988,Living And Learning Center University Of Vermont,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-february-26-1988-living-and-learning-center-university-of-vermont-burlington-vt-usa.html
1988,March 9, 1988,Gallaghers Waitsfield,"Waitsfield, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-march-09-1988-gallaghers-waitsfield-vt-usa.html
1988,March 11, 1988,The Base Lodge Stearns Hall Johnson State College Johnson,"Johnson, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-march-11-1988-the-base-lodge-stearns-hall-johnson-state-college-johnson-vt-usa.html
1988,March 12, 1988,Nectars,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-march-12-1988-nectars-burlington-vt-usa.html
1988,March 20, 1988,Nectars,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-march-20-1988-nectars-burlington-vt-usa.html
1988,March 21, 1988,Nectars,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-march-21-1988-nectars-burlington-vt-usa.html
1988,March 22, 1988,Nectars,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-march-22-1988-nectars-burlington-vt-usa.html
1988,March 31, 1988,Kennys Castaways New York,"New York, NY",/images/default-ticket.jpg,https://phish.net/setlists/phish-march-31-1988-kennys-castaways-new-york-ny-usa.html
1988,April 2, 1988,Humphries House The Zoo Amherst College Amherst,"Amherst, MA",/images/default-ticket.jpg,https://phish.net/setlists/phish-april-02-1988-humphries-house-the-zoo-amherst-college-amherst-ma-usa.html
1988,April 6, 1988,Gallaghers Waitsfield,"Waitsfield, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-april-06-1988-gallaghers-waitsfield-vt-usa.html
1988,April 17, 1988,Nectars,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-april-17-1988-nectars-burlington-vt-usa.html
1988,April 18, 1988,Nectars,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-april-18-1988-nectars-burlington-vt-usa.html
1988,April 19, 1988,Nectars,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-april-19-1988-nectars-burlington-vt-usa.html
1988,April 22, 1988,University Of Vermont,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-april-22-1988-university-of-vermont-burlington-vt-usa.html
1988,April 27, 1988,Gallaghers Waitsfield,"Waitsfield, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-april-27-1988-gallaghers-waitsfield-vt-usa.html
1988,April 28, 1988,Ira Allen Chapel University Of Vermont,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-april-28-1988-ira-allen-chapel-university-of-vermont-burlington-vt-usa.html
1988,April 30, 1988,Colgate University Hamilton,"Hamilton, NY",/images/default-ticket.jpg,https://phish.net/setlists/phish-april-30-1988-colgate-university-hamilton-ny-usa.html
1988,May 1, 1988,The Haunt Ithaca,"Ithaca, NY",/images/default-ticket.jpg,https://phish.net/setlists/phish-may-01-1988-the-haunt-ithaca-ny-usa.html
1988,May 2, 1988,The Haunt Ithaca,"Ithaca, NY",/images/default-ticket.jpg,https://phish.net/setlists/phish-may-02-1988-the-haunt-ithaca-ny-usa.html
1988,May 3, 1988,The Haunt Ithaca,"Ithaca, NY",/images/default-ticket.jpg,https://phish.net/setlists/phish-may-03-1988-the-haunt-ithaca-ny-usa.html
1988,May 5, 1988,Slade Hall University Of Vermont,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-may-05-1988-slade-hall-university-of-vermont-burlington-vt-usa.html
1988,May 8, 1988,Cds Norwalk,"Norwalk, CT",/images/default-ticket.jpg,https://phish.net/setlists/phish-may-08-1988-cds-norwalk-ct-usa.html
1988,May 12, 1988,Kennys Castaways New York,"New York, NY",/images/default-ticket.jpg,https://phish.net/setlists/phish-may-12-1988-kennys-castaways-new-york-ny-usa.html
1988,May 14, 1988,Goddard College,"Plainfield, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-may-14-1988-goddard-college-plainfield-vt-usa.html
1988,May 15, 1988,Beecher Hill Farm Hinesburg,"Hinesburg, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-may-15-1988-beecher-hill-farm-hinesburg-vt-usa.html
1988,May 21, 1988,Nectars,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-may-22-1988-nectars-burlington-vt-usa.html
1988,May 22, 1988,Nectars,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-may-21-1988-nectars-burlington-vt-usa.html
1988,May 23, 1988,Nectars,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-may-23-1988-nectars-burlington-vt-usa.html
1988,May 24, 1988,Nectars,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-may-24-1988-nectars-burlington-vt-usa.html
1988,May 27, 1988,The Front,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-may-27-1988-the-front-burlington-vt-usa.html
1988,May 28, 1988,Wedding Reception Waitsfield,"Waitsfield, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-may-28-1988-wedding-reception-waitsfield-vt-usa.html
1988,June 3, 1988,Squam Lake Steak House Squam Lake,"Squam Lake, NH",/images/default-ticket.jpg,https://phish.net/setlists/phish-june-03-1988-squam-lake-steak-house-squam-lake-nh-usa.html
1988,June 4, 1988,Squam Lake Steak House Squam Lake,"Squam Lake, NH",/images/default-ticket.jpg,https://phish.net/setlists/phish-june-04-1988-squam-lake-steak-house-squam-lake-nh-usa.html
1988,June 15, 1988,The Front,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-june-15-1988-the-front-burlington-vt-usa.html
1988,June 17, 1988,Gopher Broke Commune Morrisville,"Morrisville, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-june-17-1988-gopher-broke-commune-morrisville-vt-usa.html
1988,June 19, 1988,Nectars,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-june-19-1988-nectars-burlington-vt-usa.html
1988,June 20, 1988,Nectars,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-june-20-1988-nectars-burlington-vt-usa.html
1988,June 21, 1988,Nectars,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-june-21-1988-nectars-burlington-vt-usa.html
1988,June 23, 1988,Tramps New York,"New York, NY",/images/default-ticket.jpg,https://phish.net/setlists/phish-june-23-1988-tramps-new-york-ny-usa.html
1988,June 24, 1988,Halversons Burlington,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-june-24-1988-halversons-burlington-vt-usa.html
1988,June 27, 1988,Cossayuna Lake Cossayuna,"Cossayuna, NY",/images/default-ticket.jpg,https://phish.net/setlists/phish-june-27-1988-cossayuna-lake-cossayuna-ny-usa.html
1988,July 7, 1988,The Front,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-july-07-1988-the-front-burlington-vt-usa.html
1988,July 8, 1988,The Front,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-july-08-1988-the-front-burlington-vt-usa.html
1988,July 11, 1988,Sams Tavern Burlington,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-july-11-1988-sams-tavern-burlington-vt-usa.html
1988,July 12, 1988,Sams Tavern Burlington,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-july-12-1988-sams-tavern-burlington-vt-usa.html
1988,July 23, 1988,Petes Phabulous Phish Phest Underhill,"Underhill, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-july-23-1988-petes-phabulous-phish-phest-underhill-vt-usa.html
1988,July 24, 1988,Nectars,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-july-24-1988-nectars-burlington-vt-usa.html
1988,July 25, 1988,Nectars,"Burlington, VT",/images/default-ticket.jpg,https://phish.net/setlists/phish-july-25-1988-nectars-burlington-vt-usa.html
1988,July 28, 1988,The Roma Telluride,"Telluride, CO",/images/default-ticket.jpg,https://phish.net/setlists/phish-july-28-1988-the-roma-telluride-co-usa.html
1988,July 29, 1988,The Roma Telluride,"Telluride, CO",/images/default-ticket.jpg,https://phish.net/setlists/phish-july-29-1988-the-roma-telluride-co-usa.html
1988,July 30, 1988,The Roma Telluride,"Telluride, CO",/images/default-ticket.jpg,https://phish.net/setlists/phish-july-30-1988-the-roma-telluride-co-usa.html
